"","Lake","Y","Year","WYear","Panel","Lat","Long","InclProb","PanelProb","AdjInclProb","utmx_n83","utmy_n83","lake_eleva","raster_dec","inver_cost","Elev_Stratum"
"59","S028-Out",128.26,2010,2,4,36.6761951,-118.3794224,0.041,0.25,0.01025,376904.0391,4059978.772,3710,11.90234852,0.084,"High"
"60","S029-Out",14.53,2010,2,4,37.16183474,-118.8053625,0.047,0.25,0.01175,339565.2229,4114392.008,3347,9.31666279,0.107,"High"
"61","S031-Out",15.64,2010,2,4,36.605213,-118.591607,0.047,0.25,0.01175,357814.3612,4052347.39,3287,7.69758701,0.13,"High"
"62","S032-Out",47.96,2010,2,4,36.87282253,-118.3726303,0.047,0.25,0.01175,377673.7317,4081316.279,3478,12.33421898,0.081,"High"
"63","S033-Out",39.24,2010,2,4,36.96578756,-118.4893506,0.047,0.25,0.01175,367309.9552,4091976.547,3400,11.20159817,0.089,"High"
"64","S034-Out",69.44,2010,2,4,37.07898047,-118.633571,0.041,0.25,0.01025,354691.7723,4104919.942,3405,12.25772285,0.082,"High"
"65","S035-Out",103.63,2010,2,4,36.48408604,-118.5217152,0.047,0.25,0.01175,363862.1758,4038755.818,3127,7.3935523,0.135,"High"
"66","S036-Out",66.63,2010,2,4,36.730566,-118.51737,0.047,0.25,0.01175,364687.7547,4065948.229,3205,8.06359386,0.124,"High"
"67","S037-Out",75.43,2010,2,4,37.051268,-118.454527,0.041,0.25,0.01025,370850.9014,4101667.288,3545,13.39073277,0.075,"High"
"68","S038-Out",53.25,2010,2,4,36.540127,-118.267535,0.047,0.25,0.01175,386563.9239,4044724.779,3750,9.0056324,0.111,"High"
"69","S039-Out",27.56,2011,3,5,36.574004,-118.520224,0.041,0.25,0.01025,364086.699,4048635.721,3469,13.67912769,0.073,"High"
"70","S040-Out",92.14,2011,3,5,36.778314,-118.429989,0.206,0.25,0.0515,372682.0972,4070984.912,3165,5.76282358,0.174,"High"
"71","S041-Out",116.56,2011,3,5,36.966401,-118.426848,0.206,0.25,0.0515,373230.9337,4092091.495,3478,8.28680897,0.121,"High"
"72","S042-Out",34.21,2011,3,5,36.865292,-118.617877,0.047,0.25,0.01175,355550.6329,4080907.658,3076,7.91520119,0.126,"Low"
"73","S043-Out",49.08,2011,3,5,36.593149,-118.326464,0.041,0.25,0.01025,381447.7036,4050627.729,3570,12.56916523,0.08,"High"
"74","S044-Out",59.61,2011,3,5,36.821225,-118.465941,0.041,0.25,0.01025,369414.0316,4075828.825,3214,9.76231861,0.102,"High"
"75","S046-Out",47.66,2011,3,5,36.44837,-118.516783,0.047,0.25,0.01175,364076.9102,4034665.855,3310,8.08468628,0.124,"High"
"76","S047-Out",23.99,2011,3,5,36.60918,-118.652511,0.206,0.25,0.0515,352210.7399,4052789.74,3139,4.09612274,0.244,"High"
"77","S048-Out",80.2,2011,3,5,36.792878,-118.407738,0.047,0.25,0.01175,374447.9169,4072716.1,3450,8.49145412,0.118,"High"
"78","S049-Out",14.82,2011,3,5,36.933937,-118.459306,0.047,0.25,0.01175,370144.9149,4088550.993,3469,10.9133873,0.092,"High"
"79","S051-Out",7.49,2008,0,2,36.532117,-118.559499,0.041,0.25,0.01025,360321.7567,4044132.817,3456,10.40315247,0.096,"High"
"80","S051-Out",15.65,2012,4,2,36.532117,-118.559499,0.041,0.25,0.01025,360321.7567,4044132.817,3456,10.40315247,0.096,"High"
