siteID,Park,xcoord,ycoord,mdcaty,panel,wgt,lake_id,lake_area,lake_perim
S210-Out,SEKI,349647.1887,4109658.732,4,OverSamp,24.57142857,10090,716908,6596
S211-Out,SEKI,362562.6837,4040014.75,2,OverSamp,4.846153846,20051,25853.3,644
S212-Out,SEKI,365132.7545,4062879.3,4,OverSamp,24.57142857,10627,102744,1363
S213-Out,SEKI,370545.0701,4102242.051,4,OverSamp,24.57142857,10258,33166.1,1024
S214-Out,SEKI,349139.5876,4101356.944,6,OverSamp,21.33333333,10157,42699.9,1138
S215-Out,SEKI,362646.399,4049092.592,4,OverSamp,24.57142857,20025,25347.9,608
S216-Out,SEKI,373933.7213,4072182.006,2,OverSamp,4.846153846,10445,12282.2,423
S217-Out,SEKI,374653.863,4087116.463,3,OverSamp,21.45454545,10330,32733.7,720
S218-Out,SEKI,357475.0716,4080960.62,2,OverSamp,4.846153846,10461,11177.8,561
S219-Out,SEKI,380979.7995,4047687.127,3,OverSamp,21.45454545,20092,23556.2,872
S220-Out,SEKI,372356.5018,4076710.644,3,OverSamp,21.45454545,10408,18749.2,753
S221-Out,SEKI,344486.3141,4098849.055,5,OverSamp,24.2,10175,22966,618
S222-Out,SEKI,346393.3148,4061084.134,1,OverSamp,2.8,10689,41780.7,782
S223-Out,SEKI,352722.0146,4052552.177,2,OverSamp,4.846153846,20014,22012.1,770
S224-Out,SEKI,377524.9678,4078807.562,2,OverSamp,4.846153846,10359,164918,1800
S225-Out,SEKI,371458.5483,4089289.566,3,OverSamp,21.45454545,10298,16328.1,495
S226-Out,SEKI,356067.0702,4101476.318,5,OverSamp,24.2,10198,22162.6,789
S227-Out,SEKI,360145.2432,4043288.984,3,OverSamp,21.45454545,20353,34006.8,692
S228-Out,SEKI,371730.6781,4061719.605,4,OverSamp,24.57142857,10603,11714.6,717
S229-Out,SEKI,363664.2568,4105427.606,3,OverSamp,21.45454545,10223,40330.7,935
S230-Out,SEKI,368877.2436,4025065.324,5,OverSamp,24.2,20280,18421.5,796
S231-Out,SEKI,367589.4928,4053607.246,6,OverSamp,21.33333333,20184,13002.4,427
S232-Out,SEKI,376034.1777,4069702.487,1,OverSamp,2.8,10450,71341.1,1504
S233-Out,SEKI,351501.9075,4116575.285,2,OverSamp,4.846153846,10046,22672,576
S234-Out,SEKI,354554.0964,4082415.055,3,OverSamp,21.45454545,10575,17918.9,512
S235-Out,SEKI,374508.21,4057153.199,4,OverSamp,24.57142857,20206,84993.4,1191
S236-Out,SEKI,368249.8466,4075869.473,4,OverSamp,24.57142857,10387,15599.7,557
